id_bv;Niveau de pauvreté;Niveau de participation;Cluster
10_26;1.8235908916601151;1.3626170661722397;1
10_27;3.1065711522014867;1.0510090159845704;1
10_28;0.9710218906267585;1.4702365557185797;1
10_29;0.14713885133889834;2.982755847288901;1
10_30;1.1562003111104773;1.9835648658145146;1
10_31;-0.46854936120185314;1.6273818408789555;1
10_32;2.009582004294922;1.8290001975866732;1
10_33;1.0542726516386296;2.3838091877317096;1
10_34;0.0773116773585401;1.7960503059625479;1
10_35;0.34438947233950495;1.6731722813370185;1
10_36;0.9001592080710488;4.472298031153252;1
10_37;0.945967048075917;1.8776441136727604;1
10_38;0.8365528427429969;3.3980290835995026;1
10_39;2.6070298962978753;2.6401368104101417;1
11_01;2.362938917907619;2.99269480850775;1
11_02;0.4100424050733889;3.0659275571244824;1
11_03;2.8400110803527;1.420310876489176;1
11_04;1.484003583136862;2.680285469790585;1
11_05;2.308504895925403;2.660364092839619;1
11_06;2.5357383600893915;2.5981537812607205;1
11_07;0.9949080086527691;1.677337791148677;1
11_08;1.9701471628967064;2.1983779538871544;1
11_09;1.1902987710115311;3.9414352706979647;1
11_10;1.2070016032666837;2.1125898088881407;1
11_11;2.5627089898194826;2.419338838192717;1
11_12;1.3525527664769186;3.563214797187067;1
11_13;2.173433790302266;4.064955870968907;1
11_14;2.545121159228411;3.0696460718130107;1
11_15;-0.3597765128827739;2.8455039354269482;1
11_16;-1.3088789741567717;3.0259220152482307;1
11_17;-0.634867918236691;2.731537918148071;1
11_18;0.9834641425772572;1.9723481850890947;1
11_19;0.6738372149325254;2.2338083672125864;1
11_20;0.8708759416048741;3.093268832073578;1
11_21;0.6147415597160965;3.272781170142;1
11_22;0.9749486363321602;3.225073207553348;1
11_23;2.058114038116266;3.4439740537308;1
11_24;1.5529160656319074;3.6873177114493405;1
11_25;1.3069318419509275;2.801796966503397;1
11_26;0.7386025319773759;2.859095981804058;1
11_27;2.294960503796617;4.669857874255529;1
11_28;2.778034049117947;3.271599878737636;1
11_29;3.358499626775431;2.939517736684729;1
11_30;3.3490644318254086;2.918137496703685;1
11_31;5.285982498482721;-1.0535428120152828;2
11_32;4.853385238920988;1.4087138511622046;1
11_33;3.0521759687128043;2.3707744908472144;1
11_34;3.1762958844482356;0.9579798009317312;1
11_35;1.0517371690819788;2.2958481809885876;1
11_36;1.850417222308754;3.5751667970316827;1
11_37;0.049935369233976915;2.6889459775628084;1
11_38;1.3664344321110393;2.36236533629321;1
11_39;1.929439341570629;2.0927350058799603;1
11_40;1.552928037566452;0.5924178945589835;1
11_41;3.0040133399976354;-0.29750961334153425;2
11_42;2.0353089707160725;0.19340757389916866;1
11_43;2.2955072153037257;1.8448580718350012;1
11_44;1.2974729526324122;2.3578983606985697;1
11_45;-0.25746524137571936;1.5974210482047932;1
11_46;2.9547859620181245;-1.3649531764335607;2
11_47;1.8407114878952149;0.3603682783708183;1
11_48;-0.11952695506321065;2.6721423778602142;1
11_49;1.1704252259061934;1.27077044486652;1
11_50;1.5714988654577122;3.4302741419142166;1
11_51;0.5904759999935549;2.219560657797259;1
11_52;1.7357745325902876;3.102797947807351;1
11_53;0.231150207491256;3.408444590146029;1
11_54;1.2065519244441454;1.0617802684152247;1
11_55;1.986610369012611;2.4470704982584315;1
12_01;0.44843354485261705;1.864451055641731;1
12_02;0.3397148349821952;0.9968572093451851;1
12_03;-0.1679810970277105;1.0349933619421146;1
12_04;0.22986283329278676;0.9932433373060809;1
12_05;-1.31090584334904;0.7808850438608739;1
12_06;-0.0009730949814671492;-0.5990521810528135;1
12_07;-1.6637696918434197;0.9347402258801127;1
12_08;0.5636941207144478;-0.7334279753547853;1
12_09;2.521058738586429;-2.8294420240885265;2
12_10;1.973333286627171;0.20620100614496453;1
12_11;0.3154247236279892;0.09124473016562086;1
12_12;2.016382706641682;1.597887711435076;1
12_13;1.0195267610886904;2.7112137887415173;1
12_14;-0.3721542252186087;-0.41399472536527304;1
12_15;1.5037419915910624;0.5957186865598979;1
12_16;-1.304819274560117;1.9040802547724693;1
