id_bv;v_D_EUR; p_D_EUR ;v_D_LEG; p_D_EUR ; ecart_D ;nb_LR;nb_RN;nb_Rec;nb_autreDroite;nb_extDroite;partie_dominant
11_54;202; 0,2038 ; 175 ; 0,1472 ;-27;63;69;55;3;12;Rassemblement National
11_55;187; 0,1716 ; 166 ; 0,1258 ;-21;60;60;45;1;21;Les Républicains
12_01;147; 0,2079 ; 119 ; 0,1446 ;-28;53;51;27;4;12;Les Républicains
12_02;178; 0,2211 ; 157 ; 0,1635 ;-21;66;68;31;4;9;Rassemblement National
12_03;269; 0,2739 ; 228 ; 0,1924 ;-41;92;95;61;7;14;Rassemblement National
12_04;230; 0,2671 ; 192 ; 0,1836 ;-38;88;77;48;4;13;Les Républicains
12_05;279; 0,2859 ; 213 ; 0,1926 ;-66;101;99;64;7;8;Les Républicains
12_06;221; 0,2656 ; 206 ; 0,2010 ;-15;78;80;48;5;10;Rassemblement National
12_07;280; 0,2748 ; 227 ; 0,1935 ;-53;130;89;46;2;13;Les Républicains
12_08;216; 0,2503 ; 178 ; 0,1720 ;-38;72;83;41;7;13;Rassemblement National
12_09;226; 0,2619 ; 204 ; 0,1861 ;-22;43;107;55;3;18;Rassemblement National
12_10;201; 0,2171 ; 187 ; 0,1683 ;-14;58;72;54;5;12;Rassemblement National
12_11;233; 0,2821 ; 201 ; 0,2147 ;-32;56;98;60;2;17;Rassemblement National
12_12;262; 0,2091 ; 233 ; 0,1532 ;-29;91;113;35;8;15;Rassemblement National
12_13;187; 0,1887 ; 162 ; 0,1398 ;-25;79;58;35;3;12;Les Républicains
12_14;255; 0,2928 ; 208 ; 0,2043 ;-47;76;106;48;7;18;Rassemblement National
12_15;202; 0,2129 ; 180 ; 0,1545 ;-22;69;69;49;2;13;Les Républicains
12_16;230; 0,2587 ; 201 ; 0,1925 ;-29;101;59;54;5;11;Les Républicains
12_17;254; 0,2923 ; 188 ; 0,1863 ;-66;87;79;72;3;13;Les Républicains
12_18;201; 0,2018 ; 178 ; 0,1571 ;-23;85;60;39;1;16;Les Républicains
12_19;195; 0,2203 ; 170 ; 0,1627 ;-25;54;76;46;5;14;Rassemblement National
12_20;215; 0,2392 ; 176 ; 0,1704 ;-39;73;72;47;10;13;Les Républicains
12_21;277; 0,2732 ; 204 ; 0,1656 ;-73;97;108;59;2;11;Rassemblement National
12_22;201; 0,2460 ; 182 ; 0,1664 ;-19;45;106;23;5;22;Rassemblement National
12_23;169; 0,2287 ; 132 ; 0,1446 ;-37;59;63;36;4;7;Rassemblement National
12_24;183; 0,2229 ; 174 ; 0,1680 ;-9;51;81;33;4;14;Rassemblement National
12_25;257; 0,2685 ; 209 ; 0,1808 ;-48;79;99;55;6;18;Rassemblement National
12_26;235; 0,2673 ; 200 ; 0,1919 ;-35;88;82;49;6;10;Les Républicains
12_27;192; 0,2225 ; 153 ; 0,1452 ;-39;75;75;18;4;20;Les Républicains
